Restaurant,Cuisine,Neighborhood,Address,Latitude,Longitude
Via 13,Italian,"West Village, New York, NY","140 W 13th St, New York, NY 10011, USA",40.7372586,-73.9991582
Rosemary's Midtown,Italian,"Midtown East, New York, NY","825 3rd Ave, New York, NY 10022, USA",40.7558815,-73.9703742
La Sirene UWS,French,"Upper West Side, New York, NY","416 Amsterdam Ave, New York, NY 10024, USA",40.783853,-73.9782
Coqodaq,Korean,"Flatiron District, New York, NY","12 E 22nd St, New York, NY 10010, USA",40.7400559,-73.9887467
Bad Roman,Italian,"Upper West Side, New York, NY","3rd floor, 10 Columbus Cir, New York, NY 10019, USA",40.7685526,-73.9831866
Bocca Di Bacco—Chelsea,Italian,"Chelsea, New York, NY","169 9th Ave, New York, NY 10011, USA",40.744614,-74.0029792
Maizal,Mexican,"Rosebank, New York, NY","990 Bay St, Staten Island, NY 10305, USA",40.6183546,-74.0695183
Siren Oyster Bar & Restaurant,Seafood,"South Slope, New York, NY","687 5th Ave, Brooklyn, NY 11215, USA",40.6614057,-73.9930217
Society Cafe,American (New),"Greenwich Village, New York, NY","52 W 13th St, New York, NY 10011, USA",40.73613340000000,-73.9966616
Koi New York,Japanese / Sushi,"Midtown West, New York, NY","40 W 40th St, New York, NY 10018, USA",40.7528589,-73.9838979
Rossini's,Italian,"Murray Hill, New York, NY","108 E 38th St, New York, NY 10016, USA",40.7491356,-73.9788985
Mae Mae Cafe & Plant Shop,Eclectic,"Mott Haven, New York, NY","2417 Third Ave, Bronx, NY 10451, USA",40.8087961,-73.9307007
Palermo Argentinian Bistro - Gramercy,Argentinian,"Gramercy, New York, NY","53 Irving Pl, New York, NY 10003, USA",40.7360984,-73.98749160000000
Mission Ceviche - Union Square,Peruvian,"Union Square, New York, NY","7 E 17th St, New York, NY 10003, USA",40.73785550000000,-73.9913424
Mission Ceviche - Upper East Side,Peruvian,"Upper East Side, New York, NY","1400 2nd Ave, New York, NY 10021, USA",40.769265,-73.9578044
Dinner Party,American (New),"Clinton Hill, New York, NY","274 Hall St, Brooklyn, NY 11205, USA",40.6900427,-73.9654379
Panda Harlem,Chinese,"Harlem, New York, NY","2331 12th Ave, New York, NY 10027, USA",40.8199852,-73.9585029
Wagamama - Nomad/Flatiron,Asian Fusion,"Flatiron District, New York, NY","210 fifth avenue at, W 26th St, New York, NY 10010, USA",40.7433574,-73.98877110000000
Barbetta,Italian,"Times Square/Theatre District, New York, NY","321 W 46th St, New York, NY 10036, USA",40.7604036,-73.9889142
Ai Fiori,Italian,"Midtown West, New York, NY","400 5th Ave #2, New York, NY 10018, USA",40.7500752,-73.9837835
Hutong,Chinese,"Midtown East, New York, NY","Inside Beacon Courtyard, 731 Lexington Ave, New York, NY 10022, USA",40.7618633,-73.9682894
Audace,Italian,"Nomad, New York, NY","365 Park Ave S, New York, NY 10016, USA",40.74209160000000,-73.98461380000000
Kubeh,Middle Eastern,"Greenwich Village, New York, NY","464 6th Ave, New York, NY 10011, USA",40.7354505,-73.99799160000000
The Dram Shop Bar,American (Traditional),"Park Slope, New York, NY","339 9th St, Brooklyn, NY 11215, USA",40.66888490000000,-73.98505450000000
Kellari Taverna,Greek,"Midtown West, New York, NY","19 W 44th St, New York, NY 10036, USA",40.7553215,-73.9814794
Le B.,French,"West Village, New York, NY","283 W 12th St, New York, NY 10014, USA",40.7376887,-74.0040233
Ben & Jack's 44th Street,Steakhouse,"Midtown East, New York, NY","219 E 44th St, New York, NY 10017, USA",40.7518502,-73.9725168
Mr Chow New York - 57th Street,Chinese,"Midtown East, New York, NY","324 E 57th St, New York, NY 10022, USA",40.7588261,-73.96432950000000
Luigi's,Italian,"New Hyde Park, New York, NY","265-21 Union Tpke, Queens, NY 11040, USA",40.7496513,-73.7075825
When in Bangkok,Thai,"Flushing, New York, NY","161-16 Northern Blvd, Flushing, NY 11358, USA",40.7622,-73.80427570000000
Warren Street Bar & Restaurant,American (New),"Tribeca, New York, NY","86 Warren St, New York, NY 10007, USA",40.7155632,-74.010503
Obao Midtown East,Thai,"Midtown East, New York, NY","222 E 53rd St, New York, NY 10022, USA",40.7571525,-73.9685544
The Half Pint,Gastropub,"Greenwich Village, New York, NY","76 W 3rd St, New York, NY 10012, USA",40.7295121,-73.9985343
Felice Montague,Italian,"Brooklyn Heights, New York, NY","84 Montague St, Brooklyn, NY 11201, USA",40.6951676,-73.9961032
Tuscan Hills,Italian,"Forest Hills, New York, NY","110-60 Queens Blvd, Forest Hills, NY 11375, USA",40.7189717,-73.8393511
Da Andrea - Chelsea,Italian,"Chelsea, New York, NY","160 8th Ave, New York, NY 10011, USA",40.7420291,-74.0004666
Felice on Hudson,Italian,"West Village, New York, NY","615 Hudson St, New York, NY 10014, USA",40.7378294,-74.00589270000000
La Masseria,Italian,"Times Square/Theatre District, New York, NY","235 W 48th St, New York, NY 10036, USA",40.7608161,-73.9860025
Bocca Di Bacco—Theatre District,Italian,"Hells Kitchen, New York, NY","635 9th Ave, New York, NY 10036, USA",40.7602533,-73.9916643
Kimika,Eclectic,"Nolita, New York, NY","40 Kenmare St, New York, NY 10012, USA",40.7206118,-73.9952615
